"﻿""address""",city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
,,,en,29.836095,-95.46119,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,7 AM to 6 PM,Sunday,Closed,(832) 479-1018,59,,,,,"1 Plus Texas Remodeling, LLC",https://www.google.com/maps/search/?api=1&query=1%20Plus%20Texas%20Remodeling%2C%20LLC&query_place_id=ChIJp_qBH0FSfmQR9RJ9xxD5dbo,https://www.elevationroofing.com/
,,,en,29.6975606,-95.487679,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(281) 805-4207,25,,,,5,24 Hour Mold Pros,https://www.google.com/maps/search/?api=1&query=24%20Hour%20Mold%20Pros&query_place_id=ChIJ015oy1AJw2oR1Lgbas4xvuE,
,,,en,29.836095,-95.46119,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(832) 316-8495,88,,,,,A. H,https://www.google.com/maps/search/?api=1&query=A.%20H&query_place_id=ChIJQ_OcmBKZQIYRQrAWVGSt_Fw,
,,,en,29.8715404,-95.465351,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,Closed,(281) 803-8129,108,,,,5,A.D’S HOME IMPROVEMENT,https://www.google.com/maps/search/?api=1&query=A.D%E2%80%99S%20HOME%20IMPROVEMENT&query_place_id=ChIJK0qt4AZc9okRx8tkBaij38c,
,,,en,29.836095,-95.46119,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(713) 754-0618,35,,,,,AA Soto Roofing,https://www.google.com/maps/search/?api=1&query=AA%20Soto%20Roofing&query_place_id=ChIJhzXKclz0rCIRf3zMg2eunI4,
,,,en,29.8339515,-95.4346126,Monday,7 AM to 9 PM,Tuesday,7 AM to 9 PM,Wednesday,7 AM to 9 PM,Thursday,7 AM to 9 PM,Friday,7 AM to 9 PM,Saturday,7 AM to 9 PM,Sunday,7 AM to 9 PM,(832) 415-0767,31,,,,1,AM Roofing,https://www.google.com/maps/search/?api=1&query=AM%20Roofing&query_place_id=ChIJTY4eeK8VdA4RBAfKYzJl0jA,
,,,en,29.834215,-95.465351,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(832) 573-8954,55,,,,5,AZ Roofing & Painting,https://www.google.com/maps/search/?api=1&query=AZ%20Roofing%20%26%20Painting&query_place_id=ChIJdfRxCz-vYWcRQ2Gf6CHnTjs,
,,,en,29.61169,-95.2709815,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 498-4466,69,,,,5,Aguirres Roofing and Siding,https://www.google.com/maps/search/?api=1&query=Aguirres%20Roofing%20and%20Siding&query_place_id=ChIJdbO8SkWZQIYRNPE1g-KTXV0,
,,,en,29.836095,-95.46119,Monday,7 AM to 9 PM,Tuesday,7 AM to 9 PM,Wednesday,7 AM to 9 PM,Thursday,7 AM to 9 PM,Friday,7 AM to 9 PM,Saturday,7 AM to 9 PM,Sunday,Closed,,94,,,,5,Alexander Roofing.,https://www.google.com/maps/search/?api=1&query=Alexander%20Roofing.&query_place_id=ChIJ9WmVT7O5QIYRyKSCYXYXRhw,
,,,en,29.836095,-95.46119,Monday,9 AM to 7 PM,Tuesday,9 AM to 7 PM,Wednesday,9 AM to 7 PM,Thursday,9 AM to 7 PM,Friday,9 AM to 7 PM,Saturday,9 AM to 7 PM,Sunday,Closed,(239) 299-5257,35,,,,4.8,Alexander roofing,https://www.google.com/maps/search/?api=1&query=Alexander%20roofing&query_place_id=ChIJoyX1V1lb4QMRE71iME7EVH0,
,,,en,29.6490154,-95.2709815,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(832) 721-5309,114,,,,,All Source Roofing Services,https://www.google.com/maps/search/?api=1&query=All%20Source%20Roofing%20Services&query_place_id=ChIJ91VWmiClQIYRqMn5gTy_0z0,
,,,en,29.836095,-95.46119,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,8 AM to 12 PM,Sunday,Closed,(713) 398-0286,86,,,,,Amaya Roofing,https://www.google.com/maps/search/?api=1&query=Amaya%20Roofing&query_place_id=ChIJX9ugNa2k4mwRbVkrb-m3pOA,
,,,en,29.836095,-95.46119,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(832) 875-4568,33,,,,5,American 3rd Coast Renovators,https://www.google.com/maps/search/?api=1&query=American%203rd%20Coast%20Renovators&query_place_id=ChIJPQrCzjzDQIYR1Fq9TNiR6FI,
