address,city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
"10100 N Central Expy, Dallas, TX 75231",Dallas,,en,32.8845851,-96.7693486,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(972) 269-5311,36,,Texas,10100 N Central Expy,3.0,4B Construction Services,https://www.google.com/maps/search/?api=1&query=4B%20Construction%20Services&query_place_id=ChIJhaO9pd2fToYRMetl5WADGqg,https://www.tigroofing.com/
"8035 E R L Thornton Fwy #269, Dallas, TX 75228",Dallas,"Service offering residential rooftop repairs and replacements, as well as gutter work.",en,32.7948717,-96.7037336,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,3,,Texas,8035 E R L Thornton Fwy #269,5.0,ACO Roofing & Gutters,https://www.google.com/maps/search/?api=1&query=ACO%20Roofing%20%26%20Gutters&query_place_id=ChIJL3e7rTEfTIYRXOk8vlif4vI,
"1324 W Davis St, Dallas, TX 75208",Dallas,,en,32.7493637,-96.8438379,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(469) 940-4277,13,,Texas,1324 W Davis St,4.9,Adams Brothers Roof Repair,https://www.google.com/maps/search/?api=1&query=Adams%20Brothers%20Roof%20Repair&query_place_id=ChIJjW5qbZWbToYRXDlzpxPDUsc,
"626 W Brooklyn Ave, Dallas, TX 75208",Dallas,,en,32.7390119,-96.8333311,,,,,,,,,,,,,,,(469) 279-0801,41,,Texas,626 W Brooklyn Ave,,Advanced metal roofing,https://www.google.com/maps/search/?api=1&query=Advanced%20metal%20roofing&query_place_id=ChIJFQM__4yZToYR_TmkalJhg-0,
"7312 C F Hawn Fwy, Dallas, TX 75217",Dallas,,en,32.7215073,-96.6948448,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,Closed,(214) 308-7597,35,,Texas,7312 C F Hawn Fwy,3.0,Alltrust General Contractors,https://www.google.com/maps/search/?api=1&query=Alltrust%20General%20Contractors&query_place_id=ChIJh2keTe6mToYRmTBn9Xie-Ss,
"1615 Fuller Dr, Dallas, TX 75228",Dallas,,en,32.8362158,-96.6877217,,,,,,,,,,,,,,,(214) 320-3905,7,,Texas,1615 Fuller Dr,5.0,Alpine Roofing & Sheet Metal,https://www.google.com/maps/search/?api=1&query=Alpine%20Roofing%20%26%20Sheet%20Metal&query_place_id=ChIJC7p4shWhToYRNpXvc-OTZ8k,
"Dallas, TX 75216",Dallas,,en,32.7031453,-96.8030059,,,,,,,,,,,,,,,(214) 372-5262,45,,Texas,,,Aluminum & Steel Shingles,https://www.google.com/maps/search/?api=1&query=Aluminum%20%26%20Steel%20Shingles&query_place_id=ChIJq6qqqnqXToYRl1vV9Xo8iC4,
"8625 Vista Grande Dr, Dallas, TX 75249",Dallas,,en,32.6526022,-96.9478683,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,10 AM to 1 PM,Sunday,Closed,(214) 216-6596,19,,Texas,8625 Vista Grande Dr,5.0,Alvarez Roofing & Restoration,https://www.google.com/maps/search/?api=1&query=Alvarez%20Roofing%20%26%20Restoration&query_place_id=ChIJTR8ijOmPToYRRAiqnN2Lqu4,
"5028 Hollow Ridge Rd, Dallas, TX 75227",Dallas,,en,32.7811041,-96.7013466,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(586) 352-9322,17,,Texas,5028 Hollow Ridge Rd,5.0,Apex Roofing Dallas,https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Dallas&query_place_id=ChIJ712oaQCjToYRoapkDeDdskg,
"3106 E Overton Rd, Dallas, TX 75216",Dallas,,en,32.7157652,-96.7743205,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(934) 240-5659,32,,Texas,3106 E Overton Rd,,ArchiteraBuildCo,https://www.google.com/maps/search/?api=1&query=ArchiteraBuildCo&query_place_id=ChIJJzbUUQKXToYRqZUu8wfTUNk,
"990 South Saint Paul St, Dallas, TX 75201",Dallas,,en,32.7764502,-96.7918007,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,7 AM to 6 PM,Sunday,7 AM to 5 PM,(229) 244-1339,20,,Texas,990 South Saint Paul St,4.2,Azalea City Roofing & Construction,https://www.google.com/maps/search/?api=1&query=Azalea%20City%20Roofing%20%26%20Construction&query_place_id=ChIJQ8g3cuVm7ogRZle91pVs4x4,
"4910 Bonnie View Rd, Dallas, TX 75241",Dallas,,en,32.6934633,-96.7706047,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(712) 991-3415,36,,Texas,4910 Bonnie View Rd,,BrickaraBuildCo,https://www.google.com/maps/search/?api=1&query=BrickaraBuildCo&query_place_id=ChIJcyNuv0OXToYRjLS0LSVnxf0,
"Millermore House, 1515 S Harwood St, Dallas, TX 75215",Dallas,,en,32.772189,-96.7889262,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(214) 617-5089,38,,Texas,"Millermore House, 1515 S Harwood St",,Bryant's Roofing Company,https://www.google.com/maps/search/?api=1&query=Bryant's%20Roofing%20Company&query_place_id=ChIJH0lGnwyZToYRjeMfz3lGzAQ,
"8330 Lyndon B Johnson Fwy Suite 920, Dallas, TX 75243",Dallas,,en,32.9230276,-96.7596486,Monday,8 AM to 8 PM,Tuesday,8 AM to 8 PM,Wednesday,8 AM to 8 PM,Thursday,8 AM to 8 PM,Friday,8 AM to 8 PM,Saturday,Closed,Sunday,Closed,(214) 989-4814,7,,Texas,8330 Lyndon B Johnson Fwy Suite 920,4.8,Builditect Roofing,https://www.google.com/maps/search/?api=1&query=Builditect%20Roofing&query_place_id=ChIJkaMDpBAhTIYRSqGujTwGpns,
"3010 Marjorie Ave, Dallas, TX 75216",Dallas,,en,32.7015644,-96.7704134,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(447) 450-1275,37,,Texas,3010 Marjorie Ave,,BuildnovaBuildElite,https://www.google.com/maps/search/?api=1&query=BuildnovaBuildElite&query_place_id=ChIJmcTZ2VaXToYRCXLcyS9PNHQ,
"3111 Monticello Ave, Dallas, TX 75205",Dallas,,en,32.8268581,-96.7859142,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(810) 276-9654,37,,Texas,3111 Monticello Ave,,BuildvoraBuildGroup,https://www.google.com/maps/search/?api=1&query=BuildvoraBuildGroup&query_place_id=ChIJvTrBldSfToYRdEGZ4RBX6Pw,
"11012 Garland Rd, Dallas, TX 75218",Dallas,,en,32.8465424,-96.685825,,,,,,,,,,,,,,,(908) 594-1735,24,,Texas,11012 Garland Rd,,BuildvoraEdge Group,https://www.google.com/maps/search/?api=1&query=BuildvoraEdge%20Group&query_place_id=ChIJM5xkSs-hToYRl5xTEJ9i3TI,
"8062 Chariot Dr, Dallas, TX 75227",Dallas,,en,32.7819201,-96.6834697,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Closed,Sunday,Closed,(567) 996-8859,28,,Texas,8062 Chariot Dr,,CRS Solution,https://www.google.com/maps/search/?api=1&query=CRS%20Solution&query_place_id=ChIJAaaYsGajToYRZS_fJnvy7Vs,
"13601 Preston Rd STE 680E, Dallas, TX 75240",Dallas,,en,32.9332302,-96.8068904,Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 9 PM,(888) 828-3334,4,,Texas,13601 Preston Rd STE 680E,4.9,Carbonite Restoration,https://www.google.com/maps/search/?api=1&query=Carbonite%20Restoration&query_place_id=ChIJAUrO6gkhTIYRSY_m3DAyqVQ,
"7240 S Lancaster Rd, Dallas, TX 75241",Dallas,,en,32.6601747,-96.7824398,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,Closed,Sunday,Closed,(469) 348-1863,11,,Texas,7240 S Lancaster Rd,5.0,Caudillo Roofing and Construction LLC,https://www.google.com/maps/search/?api=1&query=Caudillo%20Roofing%20and%20Construction%20LLC&query_place_id=ChIJg1xocl2XToYRMcUnoxZHm54,
"4041 W Wheatland Rd #150, Dallas, TX 75237",Dallas,,en,32.6489947,-96.8852926,Monday,9 AM to 6 PM,Tuesday,9 AM to 6 PM,Wednesday,9 AM to 6 PM,Thursday,9 AM to 6 PM,Friday,9 AM to 6 PM,Saturday,9 AM to 6 PM,Sunday,Closed,(214) 463-0808,31,,Texas,4041 W Wheatland Rd #150,5.0,Champion RocRoofing & Construction,https://www.google.com/maps/search/?api=1&query=Champion%20RocRoofing%20%26%20Construction&query_place_id=ChIJN-IKiWuRToYRivnc0xXCOeY,
"8330 Lyndon B Johnson Fwy, Dallas, TX 75243",Dallas,,en,32.9230547,-96.7598965,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(214) 624-6229,19,,Texas,8330 Lyndon B Johnson Fwy,5.0,Channell Group,https://www.google.com/maps/search/?api=1&query=Channell%20Group&query_place_id=ChIJwVtbrp4hTIYR5MyHTsNC9n8,
