address,city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
"845 Bell Rd, Antioch, TN 37013",Antioch,,en,36.0510703,-86.6505976,,,,,,,,,,,,,,,(615) 967-8022,19,,Tennessee,845 Bell Rd,,"Fast, Reliable Roofing",https://www.google.com/maps/search/?api=1&query=Fast%2C%20Reliable%20Roofing&query_place_id=ChIJUd1RfPBtZIgR8u_ahIjCSd8,
"5331 Mt View Rd #229, Antioch, TN 37013",Antioch,,en,36.0490468,-86.6468931,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 988-4092,47,,Tennessee,5331 Mt View Rd #229,5.0,Titan Construction Group,https://www.google.com/maps/search/?api=1&query=Titan%20Construction%20Group&query_place_id=ChIJnT0PRPFtZIgR2Trjb3aJnYE,
"886 Irma Ct, Antioch, TN 37013",Antioch,,en,36.0674264,-86.6741166,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(615) 594-9685,60,,Tennessee,886 Irma Ct,,C & B Services,https://www.google.com/maps/search/?api=1&query=C%20%26%20B%20Services&query_place_id=ChIJw6z1-2xuZIgRIBMdpqxXuF8,
"Lou Ct, Antioch, TN 37013",Antioch,,en,36.0487688,-86.6927368,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7:15 AM to 6 PM,Saturday,7 AM to 6 PM,Sunday,7 AM to 6 PM,(615) 240-0845,66,,Tennessee,Lou Ct,,Contreras construction,https://www.google.com/maps/search/?api=1&query=Contreras%20construction&query_place_id=ChIJQVrM32RvZIgRCuiCYeer5-4,
"4761 Billingsgate Rd, Antioch, TN 37013",Antioch,,en,36.0753765,-86.6626465,Monday,8 AM to 5:30 PM,Tuesday,8 AM to 5:30 PM,Wednesday,8 AM to 5:30 PM,Thursday,8 AM to 5:30 PM,Friday,8 AM to 5:30 PM,Saturday,8 AM to 12:30 PM,Sunday,Closed,(615) 427-1623,58,,Tennessee,4761 Billingsgate Rd,,Originalroofingservice,https://www.google.com/maps/search/?api=1&query=Originalroofingservice&query_place_id=ChIJL1cvgipvZIgRK2SIklkyDdA,
"1105 Woburn Way, Antioch, TN 37013",Antioch,,en,36.0814718,-86.6640556,Monday,9 AM to 6 PM,Tuesday,9 AM to 6 PM,Wednesday,9 AM to 6 PM,Thursday,9 AM to 6 PM,Friday,9 AM to 6 PM,Saturday,Closed,Sunday,Closed,(615) 943-8268,61,,Tennessee,1105 Woburn Way,4.0,"Phoenix Contractors, LLC",https://www.google.com/maps/search/?api=1&query=Phoenix%20Contractors%2C%20LLC&query_place_id=ChIJlbzYKNJvZIgRvyNXLrlU3uU,
,Antioch,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: Roof Solutions LLC,,https://roofsolutionstn.com/
"101 Creekside Crossing Ste 1700-197, Brentwood, TN 37027",Brentwood,,en,36.0369114,-86.7988293,Monday,5 AM to 5:30 PM,Tuesday,5 AM to 5:30 PM,Wednesday,5 AM to 5:30 PM,Thursday,5 AM to 5:30 PM,Friday,5 AM to 5:30 PM,Saturday,5 AM to 5:30 PM,Sunday,5 AM to 5:30 PM,(615) 766-3489,8,,Tennessee,101 Creekside Crossing Ste 1700-197,4.4,The Roof Guy,https://www.google.com/maps/search/?api=1&query=The%20Roof%20Guy&query_place_id=ChIJeSC8FPF7ZIgRFBCy8UQiTq4,
"493 Old Hickory Blvd, Brentwood, TN 37027",Brentwood,,en,36.0397849,-86.7466428,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 398-4128,33,,Tennessee,493 Old Hickory Blvd,5.0,Brentwood Overhead Door & Roofing Now,https://www.google.com/maps/search/?api=1&query=Brentwood%20Overhead%20Door%20%26%20Roofing%20Now&query_place_id=ChIJFSqqiut7ZIgRR1smRYMSZJk,
"320 Seven Springs Way Suite 250, Brentwood, TN 37027",Brentwood,,en,36.0424826,-86.7699567,Monday,7:30 AM to 7:30 PM,Tuesday,7:30 AM to 7:30 PM,Wednesday,7:30 AM to 7:30 PM,Thursday,7:30 AM to 7:30 PM,Friday,7:30 AM to 7:30 PM,Saturday,7:30 AM to 7:30 PM,Sunday,Closed,(615) 767-0882,39,,Tennessee,320 Seven Springs Way Suite 250,4.0,Trinity Roofing And Home Improvement,https://www.google.com/maps/search/?api=1&query=Trinity%20Roofing%20And%20Home%20Improvement&query_place_id=ChIJAQAwZid7ZIgR98eD12Wtr70,
