ID,CompanyName,ContactName,PhoneNumber,City,State,Status,CompetitorWebsite,Notes
1,"1 Plus Texas Remodeling, LLC",Owner / Manager,+18324791018,Houston,Texas,Pending,https://www.elevationroofing.com/,Google Maps URL: https://www.google.com/maps/search/?api=1&query=1%20Plus%20Texas%20Remodeling%2C%20LLC&query_place_id=ChIJp_qBH0FSfmQR9RJ9xxD5dbo
2,24 Hour Mold Pros,Owner / Manager,+12818054207,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=24%20Hour%20Mold%20Pros&query_place_id=ChIJ015oy1AJw2oR1Lgbas4xvuE
3,360 Building Service,Owner / Manager,+12147797269,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=360%20Building%20Service&query_place_id=ChIJ1YpRruK9ToYRcbRHjYZXOvU
4,4B Construction Services,Owner / Manager,+19722695311,Dallas,Texas,Pending,https://www.tigroofing.com/,Google Maps URL: https://www.google.com/maps/search/?api=1&query=4B%20Construction%20Services&query_place_id=ChIJhaO9pd2fToYRMetl5WADGqg
5,A Wright Choice Constrution Remodeling,Owner / Manager,+12148087126,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A%20Wright%20Choice%20Constrution%20Remodeling&query_place_id=ChIJ_8x3t3aXToYRvRhVE4eIPS8
6,A&C REMODELING and CONSTRUCTION CO,Owner / Manager,+13467195170,Houston,Texas,Pending,https://www.elevationroofing.com/,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A%26C%20REMODELING%20and%20CONSTRUCTION%20CO&query_place_id=ChIJRbDm7_3FQIYRHlxEx9_o0tU
7,"A&J Roofing, Construction & Remodeling",Owner / Manager,+13464989551,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A%26J%20Roofing%2C%20Construction%20%26%20Remodeling&query_place_id=ChIJSaMSiGq5QIYRdec3Op6ZHlw
8,A+ Painting and Roofing,Owner / Manager,+12145791109,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A%2B%20Painting%20and%20Roofing&query_place_id=ChIJlb7IkRKXToYR3OcYZQHkxv4
9,A-Plus Roofing & Siding,Owner / Manager,+16155895518,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A-Plus%20Roofing%20%26%20Siding&query_place_id=ChIJq6qqqvpvZIgRqsDya_mS7qs
10,A. H,Owner / Manager,+18323168495,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A.%20H&query_place_id=ChIJQ_OcmBKZQIYRQrAWVGSt_Fw
11,A.D’S HOME IMPROVEMENT,Owner / Manager,+12818038129,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A.D%E2%80%99S%20HOME%20IMPROVEMENT&query_place_id=ChIJK0qt4AZc9okRx8tkBaij38c
12,A1 roofing,Owner / Manager,+18326545831,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A1%20roofing&query_place_id=ChIJ7wTo3sK5QIYRsV2gDGyB4OY
13,AA Soto Roofing,Owner / Manager,+17137540618,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=AA%20Soto%20Roofing&query_place_id=ChIJhzXKclz0rCIRf3zMg2eunI4
14,ACA Construction LLC,Owner / Manager,+16156791386,Hermitage,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=ACA%20Construction%20LLC&query_place_id=ChIJCfEtMRFrZIgRiRVvamKLG4k
15,ACS Commercial Roofing,Owner / Manager,+16153465590,Madison,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=ACS%20Commercial%20Roofing&query_place_id=ChIJ8wMngCBrZIgRlfR4b-_7wgQ
16,AM Roofing,Owner / Manager,+18324150767,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=AM%20Roofing&query_place_id=ChIJTY4eeK8VdA4RBAfKYzJl0jA
17,ANA SOLAR & ROOFING,Owner / Manager,+17135520484,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=ANA%20SOLAR%20%26%20ROOFING&query_place_id=ChIJww2-SrDdQIYRPhY8Xe2QsqM
18,APB Pole Barns,Owner / Manager,+12106502276,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=APB%20Pole%20Barns&query_place_id=ChIJgWdM4eztNIgRv9qrPbsZmQI
19,AZ Roofing & Painting,Owner / Manager,+18325738954,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=AZ%20Roofing%20%26%20Painting&query_place_id=ChIJdfRxCz-vYWcRQ2Gf6CHnTjs
20,Aa Roofing,Owner / Manager,+17134337501,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Aa%20Roofing&query_place_id=ChIJe74qG2vrQIYRPsiffgWXuqY
21,Accurate Bullie Roofing & Construction,Owner / Manager,+16157154509,Unknown,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Accurate%20Bullie%20Roofing%20%26%20Construction&query_place_id=ChIJo6QVavtlZIgRN1YXIe69p0I
22,Accurate Roofing Solutions,Owner / Manager,+17257052698,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Accurate%20Roofing%20Solutions&query_place_id=ChIJt83oCOO_QIYRSpwxSuwzkyI
23,Action Electric Co,Owner / Manager,+17133925795,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Action%20Electric%20Co&query_place_id=ChIJq48YEe_pQIYRWDZxQfI1tz4
24,Adams & Sons Roofing,Owner / Manager,+19365082220,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Adams%20%26%20Sons%20Roofing&query_place_id=ChIJ30ABTsSXQIYRIacAxwLXcrI
25,Adams Brothers Roof Repair,Owner / Manager,+19363104112,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Adams%20Brothers%20Roof%20Repair&query_place_id=ChIJjQQComq5QIYRALZF6WaXHfM
26,Adams Brothers Roof Repair,Owner / Manager,+14699404277,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Adams%20Brothers%20Roof%20Repair&query_place_id=ChIJjW5qbZWbToYRXDlzpxPDUsc
27,Advanced metal roofing,Owner / Manager,+14692790801,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Advanced%20metal%20roofing&query_place_id=ChIJFQM__4yZToYR_TmkalJhg-0
28,Aguirres Roofing and Siding,Owner / Manager,+18324984466,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Aguirres%20Roofing%20and%20Siding&query_place_id=ChIJdbO8SkWZQIYRNPE1g-KTXV0
29,Alexander roofing,Owner / Manager,+12392995257,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Alexander%20roofing&query_place_id=ChIJoyX1V1lb4QMRE71iME7EVH0
30,Alford Roofing & Construction,Owner / Manager,+16157396122,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Alford%20Roofing%20%26%20Construction&query_place_id=ChIJa2emPsZoZIgRqiFWY9BvMEw
31,All Painting & Remodeling,Owner / Manager,+17138931319,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=All%20Painting%20%26%20Remodeling&query_place_id=ChIJO40StDq_QIYRTCAY1MrxdZo
32,All Source Roofing Services,Owner / Manager,+18327215309,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=All%20Source%20Roofing%20Services&query_place_id=ChIJ91VWmiClQIYRqMn5gTy_0z0
33,All Weather Roofing,Owner / Manager,+12819001280,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=All%20Weather%20Roofing&query_place_id=ChIJ9xxLtTTDQIYRYNQJPtQFg9o
34,All You Need Roofing,Owner / Manager,+16159640444,Unknown,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=All%20You%20Need%20Roofing&query_place_id=ChIJnXaobrpVUYgRGVVRCWLd0qs
35,All siding construction LLC,Owner / Manager,+16154916638,Unknown,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=All%20siding%20construction%20LLC&query_place_id=ChIJ65h9788PZIgRMU4_NLnGpKo
36,Alliance Roofing & Construction,Owner / Manager,+18328761208,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Alliance%20Roofing%20%26%20Construction&query_place_id=ChIJzzeqTYPFQIYRztANPf_sPTI
37,Alltrust General Contractors,Owner / Manager,+12143087597,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Alltrust%20General%20Contractors&query_place_id=ChIJh2keTe6mToYRmTBn9Xie-Ss
38,"Almeida Contruction, Home Remodeling",Owner / Manager,+18327034708,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Almeida%20Contruction%2C%20Home%20Remodeling&query_place_id=ChIJVaq9CuK5QIYR2k7OULBAfcg
39,Alpha one roofing supplys,Owner / Manager,+13463178348,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Alpha%20one%20roofing%20supplys&query_place_id=ChIJ3yOFMay7QIYRixrY5Os49C8
40,Alpine Roofing & Sheet Metal,Owner / Manager,+12143203905,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Alpine%20Roofing%20%26%20Sheet%20Metal&query_place_id=ChIJC7p4shWhToYRNpXvc-OTZ8k
41,Aluminum & Steel Shingles,Owner / Manager,+12143725262,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Aluminum%20%26%20Steel%20Shingles&query_place_id=ChIJq6qqqnqXToYRl1vV9Xo8iC4
42,Alvarez Roofing & Restoration,Owner / Manager,+12142166596,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Alvarez%20Roofing%20%26%20Restoration&query_place_id=ChIJTR8ijOmPToYRRAiqnN2Lqu4
43,Amaya Roofing,Owner / Manager,+17133980286,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Amaya%20Roofing&query_place_id=ChIJX9ugNa2k4mwRbVkrb-m3pOA
44,American 3rd Coast Renovators,Owner / Manager,+18328754568,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=American%203rd%20Coast%20Renovators&query_place_id=ChIJPQrCzjzDQIYR1Fq9TNiR6FI
45,Amex Roofing,Owner / Manager,+12143641488,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Amex%20Roofing&query_place_id=ChIJvRS5TFGtdycRTWNFU7Jk2Do
46,Amir Homes and Remodeling,Owner / Manager,+18326542269,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Amir%20Homes%20and%20Remodeling&query_place_id=ChIJ1-SkBqLDQIYRayd8O34x_xE
47,Anas roofing and remodeling,Owner / Manager,+16156091516,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Anas%20roofing%20and%20remodeling&query_place_id=ChIJuRIrTkRpZIgRlcHMTYIdfzY
48,Antonio Zelaya Roofing,Owner / Manager,+14696617540,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Antonio%20Zelaya%20Roofing&query_place_id=ChIJdQGS_hHoPAgR_U2Mrn5UZ74
49,Antonio's roofing,Owner / Manager,+18324837121,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Antonio's%20roofing&query_place_id=ChIJB_KvsRXxNKERL6W-3Pnu8_w
50,Apex Roofing Dallas,Owner / Manager,+15863529322,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Dallas&query_place_id=ChIJ712oaQCjToYRoapkDeDdskg
51,Apex Roofing Experts,Owner / Manager,+12816285245,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Experts&query_place_id=ChIJYb1gBAC_QIYRJTij7AVYpJM
52,Apex Roofing Experts,Owner / Manager,+12816281890,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Experts&query_place_id=ChIJx6bpPgC_QIYRrwVZFwJc16U
53,Apex Roofing Experts,Owner / Manager,+12815369283,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Experts&query_place_id=ChIJp5EKbwC_QIYRBAOyUzmTGEQ
54,ArchiteraBuildCo,Owner / Manager,+19342405659,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=ArchiteraBuildCo&query_place_id=ChIJJzbUUQKXToYRqZUu8wfTUNk
55,Arellano Construction and Development Inc.,Owner / Manager,+16156064330,Unknown,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Arellano%20Construction%20and%20Development%20Inc.&query_place_id=ChIJ6X-Neq2hswIRG8IaM13MrOY
56,Assurance Restoration & Roofing,Owner / Manager,+16153333765,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Assurance%20Restoration%20%26%20Roofing&query_place_id=ChIJo0Hw2eRvZIgRfXu1W7sSRkA
57,At the Top Restoration Roofing,Owner / Manager,+16158241500,Madison,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=At%20the%20Top%20Restoration%20Roofing&query_place_id=ChIJAQAAAKRoZIgRYB3qnmfn0nU
58,Authentic Siding Solutions,Owner / Manager,+16153577145,Hermitage,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Authentic%20Siding%20Solutions&query_place_id=ChIJPxDnK6xqZIgRbJHql2yEkDQ
59,Azalea City Roofing & Construction,Owner / Manager,+12292441339,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Azalea%20City%20Roofing%20%26%20Construction&query_place_id=ChIJQ8g3cuVm7ogRZle91pVs4x4
60,B.A.L Construction LLC,Owner / Manager,+18327823438,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=B.A.L%20Construction%20LLC&query_place_id=ChIJSW4c7kbDQIYRP_mxGw45ZCU
61,BD Roofing and Contracting,Owner / Manager,+17133210490,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=BD%20Roofing%20and%20Contracting&query_place_id=ChIJdwkYUMyXQIYRFjf8zUaNa4E
62,BFAM Roofing,Owner / Manager,+16154362326,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=BFAM%20Roofing&query_place_id=ChIJy_zz0CVnZIgR_k-zg1k5VnY
63,Bayou City Materials,Owner / Manager,+18329401803,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Bayou%20City%20Materials&query_place_id=ChIJWaMoG6i7QIYRH7XDZF48a3o
64,Bell Roofing & Solar Providers Houston,Owner / Manager,+18325365618,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Bell%20Roofing%20%26%20Solar%20Providers%20Houston&query_place_id=ChIJe27BveTHQIYR0eBShB7sOd8
65,Belmontconstruction,Owner / Manager,+16153190222,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Belmontconstruction&query_place_id=ChIJuRDuSmxuZIgRQA3K8m6IAcc
66,Benson Restoration,Owner / Manager,+19726347147,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Benson%20Restoration&query_place_id=ChIJte8RQ12dziURoUiO_F_lXcc
67,Berny's Roofer,Owner / Manager,+18324198121,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Berny's%20Roofer&query_place_id=ChIJVRNYStm5QIYRgGo-UZoK_NI
68,Black Label Roof Co,Owner / Manager,+18322639043,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Black%20Label%20Roof%20Co&query_place_id=ChIJqZRypmadQIYRp4J9AC1ESRE
69,Blackwater Restoration,Owner / Manager,+16157524487,Unknown,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Blackwater%20Restoration&query_place_id=ChIJr8TxJkhrgQIRGOx5dmNNU2E
70,Bravo's Roofing and Siding LLC,Owner / Manager,+17132983207,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Bravo's%20Roofing%20and%20Siding%20LLC&query_place_id=ChIJW-htxYiVQIYRq1IwR6CXmsw
71,Brentwood Overhead Door & Roofing Now,Owner / Manager,+16153984128,Brentwood,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Brentwood%20Overhead%20Door%20%26%20Roofing%20Now&query_place_id=ChIJFSqqiut7ZIgRR1smRYMSZJk
72,BrickaraBuildCo,Owner / Manager,+17129913415,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=BrickaraBuildCo&query_place_id=ChIJcyNuv0OXToYRjLS0LSVnxf0
73,Bryant's Roofing Company,Owner / Manager,+12146175089,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Bryant's%20Roofing%20Company&query_place_id=ChIJH0lGnwyZToYRjeMfz3lGzAQ
74,BuildCore Roofing,Owner / Manager,+15182775600,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=BuildCore%20Roofing&query_place_id=ChIJG3RUToLDQIYRl8ccBuLGhKI
75,Builders First Source,Owner / Manager,+16299107755,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Builders%20First%20Source&query_place_id=ChIJQ2YAsd1oZIgRIZysyQMSSHw
76,Builditect Roofing,Owner / Manager,+12149894814,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Builditect%20Roofing&query_place_id=ChIJkaMDpBAhTIYRSqGujTwGpns
77,BuildnovaBuildElite,Owner / Manager,+14474501275,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=BuildnovaBuildElite&query_place_id=ChIJmcTZ2VaXToYRCXLcyS9PNHQ
78,BuildvoraBuildGroup,Owner / Manager,+18102769654,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=BuildvoraBuildGroup&query_place_id=ChIJvTrBldSfToYRdEGZ4RBX6Pw
79,BuildvoraEdge Group,Owner / Manager,+19085941735,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=BuildvoraEdge%20Group&query_place_id=ChIJM5xkSs-hToYRl5xTEJ9i3TI
80,C & B Services,Owner / Manager,+16155949685,Antioch,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=C%20%26%20B%20Services&query_place_id=ChIJw6z1-2xuZIgRIBMdpqxXuF8
81,C & G Remodeling!,Owner / Manager,+18325810555,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=C%20%26%20G%20Remodeling!&query_place_id=ChIJA_fW4Vb-8IoRunEmNAMvAMw
82,C & H Roofing & Remodeling,Owner / Manager,+12814646444,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=C%20%26%20H%20Roofing%20%26%20Remodeling&query_place_id=ChIJ-UTDSsKZQIYRqTNzr_Q-KgI
83,C & L Contractors,Owner / Manager,+13467057503,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=C%20%26%20L%20Contractors&query_place_id=ChIJOdwST5RQ4WgRtQAFEOz6u2E
84,C W Jones Roofing,Owner / Manager,+16154812153,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=C%20W%20Jones%20Roofing&query_place_id=ChIJq_UTjGFvZIgRBa7IHjbII5s
85,C W Smith Roofing,Owner / Manager,+16152971444,Joelton,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=C%20W%20Smith%20Roofing&query_place_id=ChIJT9GhoSdZZIgRKF3yo2Ov8rE
86,CB Roofing Consultants,Owner / Manager,+16156567446,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=CB%20Roofing%20Consultants&query_place_id=ChIJpZwF7dtuZIgRZQH2Wxga8Aw
87,CBS Roofing & Exteriors,Owner / Manager,+12147809843,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=CBS%20Roofing%20%26%20Exteriors&query_place_id=ChIJT6Ang7qjToYRCjQv0j-3WHY
88,CEI CONTRACTORS,Owner / Manager,+16154996008,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=CEI%20CONTRACTORS&query_place_id=ChIJ6U44kv9uZIgR7QQqydoCNj0
89,CRS Solution,Owner / Manager,+15679968859,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=CRS%20Solution&query_place_id=ChIJAaaYsGajToYRZS_fJnvy7Vs
90,CV roofing and construction,Owner / Manager,+18325269775,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=CV%20roofing%20and%20construction&query_place_id=ChIJG6bkJ-TPQIYRzH5CFqY3cP4
91,Calahan Fence Staining and Roofing,Owner / Manager,+18177390692,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Calahan%20Fence%20Staining%20and%20Roofing&query_place_id=ChIJq8fUlKuyUAcRahYrUqMJq_Q
92,Campaign Renovation,Owner / Manager,+18327239715,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Campaign%20Renovation&query_place_id=ChIJncMQAIXtQIYRaLixV6eevVs
93,Capitol Roofing LLC | Roofing middle TN,Owner / Manager,+16154567863,Unknown,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Capitol%20Roofing%20LLC%20%7C%20Roofing%20middle%20TN&query_place_id=ChIJ5S5RY58RWosRMQ6VnFY-N5I
94,Carbonite Restoration,Owner / Manager,+18888283334,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Carbonite%20Restoration&query_place_id=ChIJAUrO6gkhTIYRSY_m3DAyqVQ
95,Carlos Affordable roofing,Owner / Manager,+12819607761,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Carlos%20Affordable%20roofing&query_place_id=ChIJpaCDveTJQIYRkHCbA5uflvM
