ID,CompanyName,ContactName,PhoneNumber,City,State,Status,CompetitorWebsite,Notes
1,"1 Plus Texas Remodeling, LLC",Owner / Manager,+18324791018,Houston,Texas,called,https://www.elevationroofing.com/,Google Maps URL: https://www.google.com/maps/search/?api=1&query=1%20Plus%20Texas%20Remodeling%2C%20LLC&query_place_id=ChIJp_qBH0FSfmQR9RJ9xxD5dbo
6,A&C REMODELING and CONSTRUCTION CO,Owner / Manager,+13467195170,Houston,Texas,called,https://www.elevationroofing.com/,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A%26C%20REMODELING%20and%20CONSTRUCTION%20CO&query_place_id=ChIJRbDm7_3FQIYRHlxEx9_o0tU
12,A1 roofing,Owner / Manager,+18326545831,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=A1%20roofing&query_place_id=ChIJ7wTo3sK5QIYRsV2gDGyB4OY
140,Dragon Construction,Owner / Manager,+12818251770,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Dragon%20Construction&query_place_id=ChIJVY8OJn6xQIYRDQ8faEdv-tg
141,E.A.E Renovations,Owner / Manager,+17138731797,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=E.A.E%20Renovations&query_place_id=ChIJzZTh3aTpQIYR2SEVbPG9cRI
145,Eddie’s Roofing,Owner / Manager,+13466061944,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Eddie%E2%80%99s%20Roofing&query_place_id=ChIJBezxcCylQIYRmoUGe6bRJ7k
146,Edgar roofing,Owner / Manager,+18329071480,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Edgar%20roofing&query_place_id=ChIJcUMM5FmjQIYRsjFOuOZwGgY
152,Energyshield,Owner / Manager,+18326380146,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Energyshield&query_place_id=ChIJn6lqKXKVQIYRGWVVO4Ofy_A
153,Ernestos roofing y remodeling,Owner / Manager,+18322127775,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Ernestos%20roofing%20y%20remodeling&query_place_id=ChIJI_4asua5QIYRzFbvrZR85KY
155,Evercycle Roofing,Owner / Manager,+18326731336,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Evercycle%20Roofing&query_place_id=ChIJMTeFkCx5O2YRQhcwOaRmHEI
158,Expert Roofing,Owner / Manager,+18329795238,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Expert%20Roofing&query_place_id=ChIJIzGRwLcHK4cRBT37rQZ_Ucs
161,FC Roofing & R LLC,Owner / Manager,+18322878733,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=FC%20Roofing%20%26%20R%20LLC&query_place_id=ChIJ3eWVH2a7QIYR6FHP4GOdKG8
164,Figueroa´s Remodeling,Owner / Manager,+17132699949,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Figueroa%C2%B4s%20Remodeling&query_place_id=ChIJh2Zovpa5QIYRz5Kkj5Srj1s
169,Framing & Siding Construction,Owner / Manager,+17133856321,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Framing%20%26%20Siding%20Construction&query_place_id=ChIJFdqzSxOxQIYRYywhsiV4KCk
170,Frey Roofing & Construction,Owner / Manager,+13466152485,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Frey%20Roofing%20%26%20Construction&query_place_id=ChIJ83kevm56K4cR1eN17ooRebw
171,Frontline Roofing,Owner / Manager,+17132546842,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Frontline%20Roofing&query_place_id=ChIJ6V3qG2THQIYRfESmQbkgmfM
173,GOOD FAITH CONSTRUCTION LLC HTX,Owner / Manager,+17132870308,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=GOOD%20FAITH%20CONSTRUCTION%20LLC%20HTX&query_place_id=ChIJVWkqSni9QIYROVOYPR0sGbY
174,GSG roofing interior & exterior,Owner / Manager,+18328764120,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=GSG%20roofing%20interior%20%26%20exterior&query_place_id=ChIJJUXzMhNWKYERgceJcMHHOGw
183,Golden Brick Construction Group LLC,Owner / Manager,+18323615897,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Golden%20Brick%20Construction%20Group%20LLC&query_place_id=ChIJQREqP_fGbI0RHT6P0Rj0OZ0
184,Gomez Roofing,Owner / Manager,+12818362403,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Gomez%20Roofing&query_place_id=ChIJuylEa8G5QIYR93ifUmwStaM
185,Graziano Roofing of Texas Inc,Owner / Manager,+17136869007,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Graziano%20Roofing%20of%20Texas%20Inc&query_place_id=ChIJCw8cCxXGQIYR1ttaVYx8-M8
187,Griggs Building Materials,Owner / Manager,+17134346121,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Griggs%20Building%20Materials&query_place_id=ChIJ-YfFfoS9QIYRvDAJJGxt-wI
189,Gulf Coast Roofing Company,Owner / Manager,+12818170029,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Gulf%20Coast%20Roofing%20Company&query_place_id=ChIJpaI-HaPpQIYRWivK_a6Ce5g
